"Payment for order #","Оплата счета №"
"Secret key","Секретный ключ"
"Wallet","Кошелёк"
"You will be redirected to IntellectMoney in a few seconds.","Перенаправление на IntellectMoney....."
"You will be redirected to IntellectMoney website when you place an order.","Оплата производится на сайте платежной системы IntellectMoney."
"IntellectMoney","IntellectMoney"
